RMS ch 1,RMS ch 2,RMS ch 3,RMS ch 4,WL ch 1,WL ch 2,WL ch 3,WL ch 4,VAR ch 1,VAR ch 2,VAR ch 3,VAR ch 4,IEMG ch 1,IEMG ch 2,IEMG ch 3,IEMG ch 4,MF ch 1,MF ch 2,MF ch 3,MF ch 4,PF ch 1,PF ch 2,PF ch 3,PF ch 4,labels
752066.0654294719,737023.576743322,23096.376453562752,756576.6448198286,24053.70045471613,23461.70097180391,1208.6221878750575,19909.628502952677,565603360404.1196,543203736779.3874,532281941.8139814,572404359566.3815,438361870.4385088,431317467.9630061,19430192.764869854,447942685.6751478,0.021057562995661215,0.021382149224287075,0.04102424430099311,0.018038240334336847,0.008571428571428572,0.008571428571428572,0.005,0.008571428571428572,0
287497.3352660643,251150.42613515325,44643.930530010846,835941.7523868274,8180.894435827397,7380.952582582226,1403.3579048267275,22232.099986084275,82643015767.99266,63066837065.83348,1990634531.8295364,698798606332.4099,239575406.0956584,210857858.60142422,34456959.78413907,534064993.17248464,0.03132752640672007,0.033823238506007665,0.027598570881330477,0.019656810605797763,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.009285714285714286,0
3483.5755651894083,8899.530020467599,10401.181781210009,372693.9741306145,871.5934476085913,1618.1851724059045,1863.7301186630332,89752.37273580428,10521519.1424606,77589760.63664381,106538256.88143691,138898161969.64487,3470117.752471354,8430997.555173783,10164848.503400033,362078406.7365247,0.09839690862046926,0.06341131561014886,0.06045220814169808,0.05935473177599533,0.06,0.007142857142857143,0.007142857142857143,0.05928571428571429,0
4582.88829518104,3011.698232591035,3895.4884211924177,14169.728156427931,1404.2656467327724,630.751500575796,1046.1064344594229,2547.47225586177,19326689.843149114,7414319.196419166,13510717.915929653,199032065.5319016,4775046.889936767,2836767.73320459,4312042.571327971,14167480.121747486,0.11352004027159635,0.109272249901166,0.08987888184514455,0.05198487581178867,0.06,0.007142857142857143,0.06,0.005,0
4582.831295485266,5302.648917571476,6424.849484899528,34349.751956891174,1211.6171342654975,639.5847857773081,1154.0046242611638,7562.5861547525365,19429886.39375131,26639879.24204849,39535284.03049137,1178756009.9836116,4948081.544932618,4842855.513662898,6727324.382617257,36284251.665882386,0.09393466454604839,0.0730911000262862,0.06482175237835473,0.061076736205805865,0.06,0.007857142857142858,0.06,0.06,0
8304.954151405238,6273.205615986854,5115.191342846103,44805.25657951424,806.5971458357225,622.1152392662092,363.5248645416667,1951.0135266447767,67441029.65011157,37762934.16324881,24579558.988583814,2005928807.3287714,6878731.815234742,5695056.493250059,4483410.6429331675,36482899.86354268,0.06800799979467381,0.07012364679116978,0.05465276955655065,0.028488061481019337,0.005,0.005714285714285714,0.009285714285714286,0.0064285714285714285,0
4762.594962674709,5975.902897698613,8615.274124181842,53082.033195878415,1153.9874443241242,540.5416829431023,1086.609060557217,8849.850025441085,21053840.492627583,34022797.23393762,72638297.61593865,2816046432.25737,5063658.022913544,5278585.914499825,8241408.887629887,44691277.28072142,0.08422301396427481,0.06128691314660277,0.05166012178460106,0.05313259357221767,0.06,0.005,0.005,0.06,0
6064.304096859266,8080.129291949,5613.380747800689,28578.815379579664,1112.5389576407856,885.2388430242162,467.2741959705257,1531.3818514744557,35178908.66330401,63669823.92129729,29887322.617578037,815040195.9802163,5193702.292615764,6893099.365098946,4697238.753393494,22165239.12306496,0.08839517940977502,0.07648198923603967,0.05829458070909787,0.03157003327378244,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.008571428571428572,0
4790.185410540975,4617.868446267634,6737.998119408557,170179.92253536652,1157.0186332230076,924.2354617573865,1252.1670408649245,35582.83863343599,21367260.46830852,19650175.815980226,43851056.600188784,28959341705.12425,4759330.797119023,4399091.189781556,6730809.589454624,143992989.46167478,0.08943723499355218,0.0811725915654016,0.0680603408217559,0.05784219437574035,0.05928571428571429,0.0064285714285714285,0.0064285714285714285,0.060714285714285714,0
23997.44750240134,4614.452519008291,22658.595531463518,186494.03048643135,1425.5507118464934,1040.632894270905,839.957757651006,24749.748517053904,574313098.8762741,19441714.716752797,512038185.3616553,34779233959.356476,19179855.938783307,4147700.8742419775,18543724.574929774,177096712.76469934,0.05393513684476946,0.09697201630301232,0.037940458394724395,0.04064247413555501,0.005,0.007857142857142858,0.005,0.06,0
4451.282159325831,5263.295412219501,4438.74927771917,16186.476895045857,1138.8008455887154,502.30043774355147,844.4037933148696,2767.858887464301,18179116.9352448,26026477.82818513,18098634.548772883,260229785.88212726,4808668.170658085,4745088.270893868,4713511.534299074,16434266.503624938,0.08249805395131805,0.066042073668972,0.06051599317275551,0.03833349202410653,0.06,0.0064285714285714285,0.06,0.06,0
